,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
0,稚内温泉 童夢,0,4,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
1,天然温泉天北の湯ドーミーイン稚内,2,4,対象：男女,96,16,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
2,稚内天然温泉 港のゆ,5,5,対象：男女,92,20,90,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
3,稚内グランドホテル,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
4,ホテル奥田屋,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
5,礼文島温泉 うすゆきの湯,3,5,対象：男女,90,18,90,12,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
6,利尻富士温泉,12,7,対象：男女,100,7,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
7,はまとんべつ温泉ウイング,0,0,対象：男女,90,18,90,18,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
8,ホテル豊富,0,1,対象：男女,-,-,91,14,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
9,てしお温泉夕映,1,5,対象：男女,90,20,90,16,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
10,ポンピラ・アクア・リズイング,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
11,うたのぼりグリーンパークホテル,1,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
12,旭温泉,4,14,対象：男女,-,-,?,?,ng,ng,ok,ok,ok,-,-,-,-,-,-,-
13,しょさんべつ温泉 岬の湯,2,9,対象：男女,95,17,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
14,オホーツク温泉ホテル日の出岬,1,2,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
15,なよろ温泉サンピラー,0,1,対象：男女,94,17,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
16,はぼろ温泉サンセットプラザ,1,4,対象：男女,95,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
17,紋太の湯,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
