,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
0,稚内温泉 童夢,0,4,対象：男女,90,15,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
1,天然温泉天北の湯ドーミーイン稚内,2,4,対象：男女,96,16,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
2,稚内天然温泉 港のゆ,5,5,対象：男女,92,20,90,17,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
5,礼文島温泉 うすゆきの湯,3,5,対象：男女,90,18,90,12,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
6,利尻富士温泉,12,7,対象：男女,100,7,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
7,はまとんべつ温泉ウイング,0,0,対象：男女,90,18,90,18,ng,ng,ng,ng,ng,-,ng,ng,ng,ng,ng,-
9,てしお温泉夕映,1,5,対象：男女,90,20,90,16,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
11,うたのぼりグリーンパークホテル,1,2,対象：男女,90,13,90,13,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng
13,しょさんべつ温泉 岬の湯,2,9,対象：男女,95,17,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
14,オホーツク温泉ホテル日の出岬,1,2,対象：男女,95,16,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
15,なよろ温泉サンピラー,0,1,対象：男女,94,17,?,?,ng,ng,ng,ng,ok,ok,-,-,-,-,-,-
16,はぼろ温泉サンセットプラザ,1,4,対象：男女,95,18,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ng,ok,ng
19,紋別プリンスホテル,1,5,対象：男女,95,20,90,20,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
20,とままえ温泉ふわっと,2,4,対象：男女,80,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
22,道の駅 かみゆうべつ温泉チューリップの湯,1,1,対象：-,90,14,?,?,ng,ng,ng,ok,ok,ok,-,-,-,-,-,-
23,美し乃湯温泉,1,3,対象：男女,90,18,82,21,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
24,サロマ湖 鶴雅リゾート,1,2,対象：男女,80,17,80,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
